Número,Nombre,Tipo,Altura (m),Peso (kg)
1,Bulbasaur,Planta,0.7,6.9
2,Ivysaur,Planta,1.0,13.0
3,Venusaur,Planta,2.0,100.0
4,Charmander,Fuego,0.6,8.5
5,Charmeleon,Fuego,1.1,19.0
6,Charizard,Fuego,1.7,90.5
7,Squirtle,Agua,0.5,9.0
8,Wartortle,Agua,1.0,22.5
9,Blastoise,Agua,1.6,85.5
10,Caterpie,Bicho,0.3,2.9
11,Metapod,Bicho,0.7,9.9
12,Butterfree,Bicho,1.1,32.0
13,Weedle,Bicho,0.3,3.2
14,Kakuna,Bicho,0.6,10.0
15,Beedrill,Bicho,1.0,29.5
16,Pidgey,Normal,0.3,1.8
17,Pidgeotto,Normal,1.1,30.0
18,Pidgeot,Normal,1.5,39.5
19,Rattata,Normal,0.3,3.5
20,Raticate,Normal,0.7,18.5
21,Spearow,Normal,0.3,2.0
22,Fearow,Normal,1.2,38.0
23,Ekans,Veneno,2.0,6.9
24,Arbok,Veneno,3.5,65.0
25,Pikachu,Eléctrico,0.4,6.0
26,Raichu,Eléctrico,0.8,30.0
27,Sandshrew,Tierra,0.6,12.0
28,Sandslash,Tierra,1.0,29.5
29,Nidoran♀,Veneno,0.4,7.0
30,Nidorina,Veneno,0.8,20.0
31,Nidoqueen,Veneno,1.3,60.0
32,Nidoran♂,Veneno,0.5,9.0
33,Nidorino,Veneno,0.9,19.5
34,Nidoking,Veneno,1.4,62.0
35,Clefairy,Hada,0.6,7.5
36,Clefable,Hada,1.3,40.0
37,Vulpix,Fuego,0.6,9.9
38,Ninetales,Fuego,1.1,19.9
39,Jigglypuff,Normal,0.5,5.5
40,Wigglytuff,Normal,1.0,12.0
41,Zubat,Veneno,0.8,7.5
42,Golbat,Veneno,1.6,55.0
43,Oddish,Planta,0.5,5.4
44,Gloom,Planta,0.8,8.6
45,Vileplume,Planta,1.2,18.6
46,Paras,Bicho,0.3,5.4
47,Parasect,Bicho,1.0,29.5
48,Venonat,Bicho,1.0,30.0
49,Venomoth,Bicho,1.5,12.5
50,Diglett,Tierra,0.2,0.8
51,Dugtrio,Tierra,0.7,33.3
52,Meowth,Normal,0.4,4.2
53,Persian,Normal,1.0,32.0
54,Psyduck,Agua,0.8,19.6
55,Golduck,Agua,1.7,76.6
56,Mankey,Lucha,0.5,28.0
57,Primeape,Lucha,1.0,32.0
58,Growlithe,Fuego,0.7,19.0
59,Arcanine,Fuego,1.9,155.0
60,Poliwag,Agua,0.6,12.4
61,Poliwhirl,Agua,1.0,20.0
62,Poliwrath,Agua,1.3,54.0
63,Abra,Psiquico,0.9,19.5
64,Kadabra,Psiquico,1.3,56.5
65,Alakazam,Psiquico,1.5,48.0
66,Machop,Lucha,0.8,19.5
67,Machoke,Lucha,1.5,70.5
68,Machamp,Lucha,1.6,130.0
69,Bellsprout,Planta,0.7,4.0
70,Weepinbell,Planta,1.0,6.4
71,Victreebel,Planta,1.7,15.5
72,Tentacool,Agua,0.9,45.5
73,Tentacruel,Agua,1.6,55.0
74,Geodude,Roca,0.4,20.0
75,Graveler,Roca,1.0,105.0
76,Golem,Roca,1.4,300.0
77,Ponyta,Fuego,1.0,30.0
78,Rapidash,Fuego,1.7,95.0
79,Slowpoke,Agua,1.2,36.0
80,Slowbro,Agua,1.6,78.5
81,Magnemite,Eléctrico,0.3,6.0
82,Magneton,Eléctrico,1.0,60.0
83,Farfetch'd,Normal,0.8,15.0
84,Doduo,Normal,1.4,39.2
85,Dodrio,Normal,1.8,85.2
86,Seel,Agua,1.1,90.0
87,Dewgong,Agua,1.7,120.0
88,Grimer,Veneno,0.9,30.0
89,Muk,Veneno,1.2,30.0
90,Shellder,Agua,0.3,4.0
91,Cloyster,Agua,1.5,132.5
92,Gastly,Fantasma,1.3,0.1
93,Haunter,Fantasma,1.6,0.1
94,Gengar,Fantasma,1.5,40.5
95,Onix,Roca,8.8,210.0
96,Drowzee,Psiquico,1.0,32.4
97,Hypno,Psiquico,1.6,75.6
98,Krabby,Agua,0.4,6.5
99,Kingler,Agua,1.3,60.0
100,Voltorb,Eléctrico,0.5,10.4
101,Electrode,Eléctrico,1.2,66.6
102,Exeggcute,Planta,0.4,2.5
103,Exeggutor,Planta,2.0,120.0
104,Cubone,Tierra,0.4,6.5
105,Marowak,Tierra,1.0,45.0
106,Hitmonlee,Lucha,1.5,49.8
107,Hitmonchan,Lucha,1.4,50.2
108,Lickitung,Normal,1.2,65.5
109,Koffing,Veneno,0.6,1.0
110,Weezing,Veneno,1.2,9.5
111,Rhyhorn,Tierra,1.0,115.0
112,Rhydon,Tierra,1.9,120.0
113,Chansey,Normal,1.1,34.6
114,Tangela,Planta,1.0,35.0
115,Kangaskhan,Normal,2.2,80.0
116,Horsea,Agua,0.4,8.0
117,Seadra,Agua,1.2,25.0
118,Goldeen,Agua,0.6,15.0
119,Seaking,Agua,1.3,39.0
120,Staryu,Agua,0.8,34.5
121,Starmie,Agua,1.1,80.0
122,Mr. Mime,Psiquico,1.3,54.5
123,Scyther,Bicho,1.5,56.0
124,Jynx,Hielo,1.4,40.6
125,Electabuzz,Eléctrico,1.1,30.0
126,Magmar,Fuego,1.3,44.5
127,Pinsir,Bicho,1.5,55.0
128,Tauros,Normal,1.4,88.4
129,Magikarp,Agua,0.9,10.0
130,Gyarados,Agua,6.5,235.0
131,Lapras,Agua,2.5,220.0
132,Ditto,Normal,0.3,4.0
133,Eevee,Normal,0.3,6.5
134,Vaporeon,Agua,1.0,29.0
135,Jolteon,Eléctrico,0.8,24.5
136,Flareon,Fuego,0.9,25.0
137,Porygon,Normal,0.8,36.5
138,Omanyte,Roca,0.4,7.5
139,Omastar,Roca,1.0,35.0
140,Kabuto,Roca,0.5,11.5
141,Kabutops,Roca,1.3,40.5
142,Aerodactyl,Roca,1.8,59.0
143,Snorlax,Normal,2.1,460.0
144,Articuno,Hielo,1.7,55.4
145,Zapdos,Eléctrico,1.6,52.6
146,Moltres,Fuego,2.0,60.0
147,Dratini,Dragón,1.8,3.3
148,Dragonair,Dragón,4.0,16.5
149,Dragonite,Dragón,2.2,210.0
150,Mewtwo,Psiquico,2.0,122.0